data;

/* Instância a ser resolvida*/

param m := 100;

param w := 1	485	,
2	326	,
3	248	,
4	421	,
5	322	,
6	795	,
7	43	,
8	845	,
9	955	,
10	252	,
11	9	,
12	901	,
13	122	,
14	94	,
15	738	,
16	574	,
17	715	,
18	882	,
19	367	,
20	984	,
21	299	,
22	433	,
23	682	,
24	72	,
25	874	,
26	138	,
27	856	,
28	145	,
29	995	,
30	529	,
31	199	,
32	277	,
33	97	,
34	719	,
35	242	,
36	107	,
37	122	,
38	70	,
39	98	,
40	600	,
41	645	,
42	267	,
43	972	,
44	895	,
45	213	,
46	748	,
47	487	,
48	923	,
49	29	,
50	674	,
51	540	,
52	554	,
53	467	,
54	46	,
55	710	,
56	553	,
57	191	,
58	724	,
59	730	,
60	988	,
61	90	,
62	340	,
63	549	,
64	196	,
65	865	,
66	678	,
67	570	,
68	936	,
69	722	,
70	651	,
71	123	,
72	431	,
73	508	,
74	585	,
75	853	,
76	642	,
77	992	,
78	725	,
79	286	,
80	812	,
81	859	,
82	663	,
83	88	,
84	179	,
85	187	,
86	619	,
87	261	,
88	846	,
89	192	,
90	261	,
91	514	,
92	886	,
93	530	,
94	849	,
95	294	,
96	799	,
97	391	,
98	330	,
99	298	,
100	790	
;

param beneficio := 
1	94	,
2	506	,
3	416	,
4	992	,
5	649	,
6	237	,
7	457	,
8	815	,
9	446	,
10	422	,
11	791	,
12	359	,
13	667	,
14	598	,
15	7	,
16	544	,
17	334	,
18	766	,
19	994	,
20	893	,
21	633	,
22	131	,
23	428	,
24	700	,
25	617	,
26	874	,
27	720	,
28	419	,
29	794	,
30	196	,
31	997	,
32	116	,
33	908	,
34	539	,
35	707	,
36	569	,
37	537	,
38	931	,
39	726	,
40	487	,
41	772	,
42	513	,
43	81	,
44	943	,
45	58	,
46	303	,
47	764	,
48	536	,
49	724	,
50	789	,
51	479	,
52	142	,
53	339	,
54	641	,
55	196	,
56	494	,
57	66	,
58	824	,
59	208	,
60	711	,
61	800	,
62	314	,
63	289	,
64	401	,
65	466	,
66	689	,
67	833	,
68	225	,
69	244	,
70	849	,
71	113	,
72	379	,
73	361	,
74	65	,
75	486	,
76	686	,
77	286	,
78	889	,
79	24	,
80	491	,
81	891	,
82	90	,
83	181	,
84	214	,
85	17	,
86	472	,
87	418	,
88	419	,
89	356	,
90	682	,
91	306	,
92	201	,
93	385	,
94	952	,
95	500	,
96	194	,
97	737	,
98	324	,
99	992	,
100	224	;

param c := 995;

end;
